item_id,date,sun_elev,cloud_frac_aoi,water_frac_aoi,nonice_frac_aoi,halo_frac_aoi,usable_frac,tile_cloud,pond_px,pond_km2,usable_km2,pond_pct_of_usable,pond_km2_equiv
S2B_19CEV_20191110_0_L2A,2019-11-10,29.46,0.0,7e-05,0.00022,0.00386,0.99614,9.029,732,0.0732,3760.29,0.0019,0.0735
S2B_19CEV_20191221_1_L2A,2019-12-21,32.84,0.42143,0.0,0.00467,0.01477,0.57747,36.213,13772,1.3772,2179.87,0.0632,2.3849
S2B_19CEV_20191221_0_L2A,2019-12-21,32.84,0.0,6e-05,0.00512,0.01754,0.98243,2.606,15612,1.5612,3708.54,0.0421,1.5891
S2B_19CEV_20200119_1_L2A,2020-01-19,31.0,0.43829,0.00018,0.0,0.00048,0.56139,40.189,78880,7.888,2119.17,0.3722,14.0509
S2B_19CEV_20200119_0_L2A,2020-01-19,31.0,3e-05,0.00046,0.0,0.00046,0.9995,0.013,81915,8.1915,3773.0,0.2171,8.1956
S2B_19CEV_20200129_0_L2A,2020-01-29,28.54,0.29944,0.0,1e-05,0.00235,0.69821,15.033,55412,5.5412,2635.67,0.2102,7.9363
