item_id,date,cloud_frac_aoi,water_frac_aoi,nonice_frac_aoi,usable_frac,tile_cloud,pond_px,pond_km2,usable_km2,pond_pct_of_usable
S2B_19CEV_20240208_0_L2A,2024-02-08,0.00211,0.0,0.00358,0.99515,59.173,20188,2.0188,417.4,0.4837
S2B_19CEV_20240315_0_L2A,2024-03-15,0.11461,0.0,0.0,0.88539,77.67,5206,0.5206,371.36,0.1402
