item_id,date,sun_elev,cloud_frac_aoi,water_frac_aoi,nonice_frac_aoi,halo_frac_aoi,usable_frac,tile_cloud,pond_px,pond_km2,usable_km2,pond_pct_of_usable,pond_km2_equiv
S2B_19CEV_20180222_0_L2A,2018-02-22,19.64,0.28402,0.0,0.0,0.00034,0.71557,44.123,49677,4.9677,2701.19,0.1839,6.9423
S2B_19CEV_20180301_0_L2A,2018-03-01,16.55,0.0,0.00021,0.0,0.0,0.99977,0.006,18036,1.8036,3773.99,0.0478,1.804
