item_id,date,sun_elev,cloud_frac_aoi,water_frac_aoi,nonice_frac_aoi,halo_frac_aoi,usable_frac,tile_cloud,pond_px,pond_km2,usable_km2,pond_pct_of_usable,pond_km2_equiv
S2B_19CEV_20221101_0_L2A,2022-11-01,26.36,0.36816,0.0,0.0,0.00049,0.63137,61.257,20382,2.0382,2383.32,0.0855,3.2282
S2B_19CEV_20221124_1_L2A,2022-11-24,32.66,0.19836,0.0,0.00094,0.01109,0.80105,29.384,5732,0.5732,3023.85,0.019,0.7156
S2B_19CEV_20221125_0_L2A,2022-11-25,31.02,0.27478,0.0,1e-05,0.00049,0.72442,35.896,4734,0.4734,2734.61,0.0173,0.6535
S2B_19CEV_20221201_0_L2A,2022-12-01,33.14,0.2966,0.0,4e-05,0.00345,0.70301,51.878,1847,0.1847,2653.77,0.007,0.2627
S2B_19CEV_20230222_0_L2A,2023-02-22,20.96,0.08799,1e-05,0.0,0.00034,0.9115,7.251,79294,7.9294,3440.79,0.2305,8.6993
S2B_19CEV_20230226_0_L2A,2023-02-26,18.33,0.11867,1e-05,0.0,0.00036,0.88096,17.404,71258,7.1258,3325.51,0.2143,8.0887
