item_id,date,sun_elev,cloud_frac_aoi,water_frac_aoi,nonice_frac_aoi,halo_frac_aoi,usable_frac,tile_cloud,pond_px,pond_km2,usable_km2,pond_pct_of_usable,pond_km2_equiv
S2B_19CEV_20251118_0_L2A,2025-11-18,31.53,0.45276,0.0,0.0,0.00049,0.54693,33.974,2940,0.294,2064.58,0.0142,0.5375
S2B_19CEV_20251128_0_L2A,2025-11-28,33.35,0.241,0.0,1e-05,0.00049,0.7585,21.925,4932,0.4932,2863.24,0.0172,0.6502
S2B_19CEV_20251129_0_L2A,2025-11-29,31.67,0.26299,0.0,0.0,0.00045,0.73628,27.197,5959,0.5959,2779.38,0.0214,0.8093
S2B_19CEV_20251202_0_L2A,2025-12-02,32.67,0.39257,0.0,1e-05,0.00057,0.60714,57.394,6215,0.6215,2291.89,0.0271,1.0236
S2B_19CEV_20251205_0_L2A,2025-12-05,33.6,0.0911,0.0,0.0,0.00049,0.90824,17.007,11304,1.1304,3428.47,0.033,1.2446
S2B_19CEV_20251208_0_L2A,2025-12-08,34.45,0.11092,0.0,0.0,0.00049,0.88825,13.833,13943,1.3943,3353.03,0.0416,1.5697
S2B_19CEV_20260210_0_L2A,2026-02-10,23.59,0.23695,0.00024,0.0,0.00034,0.76269,46.441,129489,12.9489,2879.06,0.4498,16.9779
