item_id,date,cloud_frac_aoi,water_frac_aoi,nonice_frac_aoi,usable_frac,tile_cloud,pond_px,pond_km2,usable_km2,pond_pct_of_usable
S2B_19CEV_20241120_0_L2A,2024-11-20,0.04157,0.0,0.0,0.95843,73.708,49,0.0049,401.99,0.0012
S2B_19CEV_20241203_0_L2A,2024-12-03,0.14439,0.0,0.0,0.85561,86.572,60,0.006,358.87,0.0017
S2B_19CEV_20241213_0_L2A,2024-12-13,0.18563,0.0,0.0,0.81437,34.641,2733,0.2733,341.57,0.08
S2B_19CEV_20250222_0_L2A,2025-02-22,0.06737,5e-05,0.00019,0.92971,54.388,2903,0.2903,389.95,0.0744
