item_id,date,sun_elev,cloud_frac_aoi,water_frac_aoi,nonice_frac_aoi,halo_frac_aoi,usable_frac,tile_cloud,pond_px,pond_km2,usable_km2,pond_pct_of_usable,pond_km2_equiv
S2B_19CEV_20181109_0_L2A,2018-11-09,28.1,0.0,8e-05,1e-05,0.0014,0.9986,0.002,6297,0.6297,3769.59,0.0167,0.6306
S2B_19CEV_20181119_0_L2A,2018-11-19,30.5,3e-05,6e-05,0.00024,0.00515,0.99485,3.412,4561,0.4561,3755.43,0.0121,0.4585
S2B_19CEV_20181125_0_L2A,2018-11-25,32.82,0.0,1e-05,1e-05,0.00052,0.99948,0.041,7771,0.7771,3772.93,0.0206,0.7775
S2B_19CEV_20190105_0_L2A,2019-01-05,31.56,0.0,8e-05,0.0,0.00045,0.99955,0.269,25880,2.588,3773.16,0.0686,2.5892
S2B_19CEV_20190125_0_L2A,2019-01-25,27.6,0.0,9e-05,0.0,0.00045,0.99954,0.006,43644,4.3644,3773.13,0.1157,4.3664
S2B_19CEV_20190207_0_L2A,2019-02-07,24.62,0.0,0.00011,1e-05,0.00056,0.99944,0.006,16958,1.6958,3772.76,0.0449,1.6967
S2B_19CEV_20190217_0_L2A,2019-02-17,21.42,0.0,0.00013,0.00036,0.01001,0.98999,0.574,29044,2.9044,3737.1,0.0777,2.9338
